"","Cst_Cnt","Sta_ID","Depthm","T_degC","Salnty","O2ml_L","O2Sat","Oxy_Âµmol.Kg","ChlorA","Phaeop","PO4uM","SiO3uM","NO2uM","NO3uM","NH3uM","C14A1q","C14A2q"
"859906",34220,"086.7 045.0",0,14.333,33.4501,7.844,134.76,341.8,3.083,1.147,0.3,0.33,0.042,0.07,0.16,9,9
"859936",34221,"086.7 050.0",0,14.565,33.401,7.071,122.02,308.74,2.216,0.847,0.28,0.46,0.041,0.12,0.05,9,9
"859948",34222,"086.7 055.0",0,15.836,33.2502,5.907,104.48,257.51,0.242,0.059,0.32,1.28,0.013,0,0,9,9
"859977",34223,"086.7 060.0",0,15.008,33.3087,6.066,105.56,264.93,0.452,0.107,0.35,1.79,0.026,0.1,0.13,9,9
"860007",34224,"086.7 070.0",0,15.776,33.1373,5.78,102.04,252.45,0.183,0.028,0.3,2.08,0.006,0,0.01,NA,NA
"860043",34225,"086.7 080.0",0,15.627,33.205,5.793,102.01,252.96,0.234,0.034,0.32,1.77,0.027,0,0.03,9,9
"860072",34226,"086.7 090.0",0,16.071,33.0944,5.692,101.05,248.61,0.091,0.016,0.29,1.93,0.007,0,0.01,9,9
"860103",34227,"086.7 100.0",0,16.421,33.0824,5.691,101.72,248.61,0.092,0.025,0.29,2.18,0.02,0.09,0.13,9,9
"860137",34228,"086.7 110.0",0,16.605,33.2738,5.627,101.06,245.81,0.07,0.012,0.28,1.93,0.006,0,0.02,NA,NA
"860173",34229,"086.8 032.5",0,15.339,33.5396,6.451,113.17,281.59,1.056,0.198,0.41,1.7,0.02,0.01,0.27,9,9
"860180",34230,"088.5 030.1",0,15.834,33.5266,6.403,113.43,279.45,1.305,0.374,0.32,3.73,0.025,0,0.04,9,9
"860185",34231,"090.0 027.7",0,16.457,33.5458,6.21,111.39,271.12,1.395,0.377,0.36,3.65,0.04,0.21,0,9,9
"860190",34232,"090.0 028.0",0,16.453,33.5423,6.263,112.33,273.45,0.923,0.208,0.31,3.13,0.056,0,0,NA,NA
"860217",34233,"090.0 030.0",0,16.544,33.5513,6.273,112.72,273.87,0.655,0.129,0.31,3.4,0.024,0,0.01,9,9
"860249",34234,"090.0 035.0",0,16.125,33.5312,5.898,105.1,257.48,0.338,0.12,0.33,1.97,0.014,0,0,9,9
"860273",34235,"090.0 037.0",0,16.451,33.5349,5.928,106.31,258.81,0.23,0.067,0.4,0.85,0.024,0.04,1.33,9,9
"860303",34236,"090.0 045.0",0,16.544,33.5331,5.831,104.76,254.58,0.348,0.066,0.36,1.97,0.018,0,0.02,9,9
"860335",34237,"090.0 053.0",0,15.868,33.4149,5.718,101.3,249.61,0.146,0.037,0.33,2.38,0.019,0,0.03,NA,NA
"860372",34238,"090.0 060.0",0,15.685,33.4257,5.774,101.92,251.67,0.257,0.075,0.32,2.46,0.018,0,0.03,9,9
"860403",34239,"090.0 070.0",0,15.744,33.3968,5.764,101.85,251.59,0.179,0.047,0.33,2.41,0.016,0,0.04,9,9
"860435",34240,"090.0 080.0",0,15.982,33.2916,5.742,101.88,250.66,0.112,0.028,0.31,2.09,0.014,0,0.09,9,9
"860467",34241,"090.0 090.0",0,15.64,33.2823,5.764,101.57,251.61,0.16,0.041,0.32,2.16,0.014,0,0.05,NA,NA
"860502",34242,"090.0 100.0",0,16.145,33.1722,5.72,101.74,249.93,0.076,0.014,0.27,1.93,0.017,0,0.08,9,9
"860532",34243,"090.0 110.0",0,16.859,33.2967,5.591,100.93,244.25,0.058,0.012,0.24,1.97,0.017,0,0,9,9
"860565",34244,"090.0 120.0",0,17.42,33.4651,5.585,102.03,243.86,0.056,0.015,0.25,1.95,0.019,0,0.15,9,9
"860600",34245,"091.7 026.4",0,16.053,33.5314,6.072,108.04,265.13,1.294,0.372,0.39,2.59,0.027,0,0.98,9,9
"860606",34246,"093.3 026.7",0,16.286,33.551,5.947,106.32,259.66,0.629,0.136,0.35,2.66,0.024,0,0.79,NA,NA
"860620",34247,"093.3 028.0",0,16.453,33.5286,6.06,108.68,264.57,0.486,0.122,0.29,2.13,0.025,0.02,0.09,9,9
"860648",34248,"093.3 030.0",0,16.314,33.5159,5.808,103.87,253.61,0.235,0.05,0.39,2.14,0.019,0.04,1.61,9,9
"860676",34249,"093.3 035.0",0,16.716,33.5177,5.67,102.21,247.58,0.145,0.035,0.3,2.29,0,0,0,9,9
"860704",34250,"093.3 040.0",0,16.856,33.524,5.614,101.48,245.16,0.155,0.034,0.29,1.86,0.009,0,0.02,9,9
"860736",34251,"093.3 045.0",0,16.298,33.5456,5.731,102.47,249.81,0.251,0.05,0.3,1.77,0.025,0,0,NA,NA
"860773",34252,"093.3 050.0",0,15.856,33.4821,5.812,102.98,253.58,0.415,0.073,0.33,1.44,0.02,0,0.03,9,9
"860802",34253,"093.3 055.0",0,15.814,33.5044,5.866,103.87,255.93,0.377,0.097,0.37,1.05,0.012,0,1.16,9,9
"860833",34254,"093.3 060.0",0,15.169,33.3511,5.851,102.18,255.36,0.335,0.132,0.34,2.16,0.015,0.02,0.02,9,9
"860864",34255,"093.3 070.0",0,15.816,33.3845,5.726,101.32,249.9,0.116,0.031,0.31,2.28,0.017,0,0.02,9,9
"860898",34256,"093.3 080.0",0,16.22,33.3342,5.66,100.92,247.07,0.078,0.017,0.29,2,0.025,0,0,NA,NA
"860933",34257,"093.3 090.0",0,16.273,33.2166,5.688,101.46,248.32,0.077,0.011,0.29,1.81,0.015,0,0.04,9,9
"860964",34258,"093.3 100.0",0,16.736,33.2705,5.605,100.92,244.76,0.051,0.013,0.26,2.65,0.016,0,0.01,9,9
"860996",34259,"093.3 110.0",0,16.636,33.2393,5.668,101.84,247.54,0.056,0.011,0.24,2.05,0.013,0,0,9,9
"861030",34260,"093.3 120.0",0,17.52,33.572,5.551,101.67,242.35,0.066,0.013,0.25,1.95,0.015,0,0,NA,NA
"861068",34261,"093.4 026.4",0,16.788,33.5489,6.012,108.55,262.5,0.617,0.138,0.35,2.51,0.031,0.06,2.1,9,9
"861075",34262,"076.7 080.0",0,16.781,32.903,5.695,102.41,248.71,0.142,0.018,0.24,0.94,0.011,0,0,9,9
"861107",34263,"076.7 090.0",0,16.443,33.0039,5.768,103.1,251.9,0.221,0.049,0.28,1.3,0.02,0.05,0.01,NA,NA
"861143",34264,"080.0 050.5",0,14.877,33.5511,5.5,95.6,240.09,1.12,0.371,0.64,5.95,0.192,4.8,0.11,9,9
"861150",34265,"080.0 051.0",0,13.932,33.5173,5.128,87.42,223.89,1.636,0.263,0.87,8.28,0.245,8.02,0.14,9,9
"861161",34266,"080.0 055.0",0,13.131,33.5432,4.965,83.26,216.75,1.613,0.521,1.06,10.87,0.199,10.89,0.07,NA,NA
"861198",34267,"080.0 060.0",0,14.9,33.5731,5.878,102.23,256.53,2.584,0.885,0.56,6.16,0.148,3.2,0.52,9,9
"861229",34268,"080.0 070.0",0,16.415,32.9252,5.717,102.08,249.67,0.146,0.058,0.52,1.22,0.013,0.01,0.05,9,9
"861260",34269,"080.0 080.0",0,16.923,32.8922,5.626,101.44,245.73,0.118,0.026,0.27,1.27,0.017,0,0,NA,NA
"861296",34270,"080.0 090.0",0,17.084,32.9484,5.623,101.74,245.57,0.115,0.033,0.27,1.5,0.023,0.1,0,9,9
"861327",34271,"080.0 100.0",0,17.692,32.9748,5.534,101.33,241.67,0.078,0.023,0.3,1.64,0.008,0,0.03,9,9
"861360",34272,"081.7 043.5",0,19.439,33.5911,6.228,118.33,271.96,1.455,0.261,0.14,0.44,0.023,0,0,9,9
"861367",34273,"081.8 046.9",0,19.136,33.6012,6.029,113.9,263.24,1.265,0.275,0.12,0.18,0.027,0,0.03,NA,NA
"861404",34274,"083.3 039.4",0,19.083,33.5575,6.12,115.48,267.27,2.267,0.591,0.19,1.91,0.048,0,0.08,9,9
"861409",34275,"083.3 040.6",0,19.982,33.5922,5.848,112.24,255.37,0.611,0.116,0.16,0.75,0.007,0.02,0.08,9,9
"861417",34276,"083.3 042.0",0,19.138,33.5831,5.827,110.08,254.44,1.777,0.399,0.19,1.45,0.018,0.03,0,9,9
"861434",34277,"083.3 051.0",0,18.223,33.558,5.89,109.34,257.23,0.799,0.188,0.27,2.11,0.024,0,0,9,9
"861445",34278,"083.3 055.0",0,16.283,33.5618,5.458,97.58,238.35,2.403,0.22,0.58,5.48,0.102,3.81,1.09,NA,NA
"861481",34279,"083.3 060.0",0,16.807,33.5926,5.637,101.84,246.15,1.863,0.335,0.4,3.61,0.081,1.58,0,9,9
"861511",34280,"083.3 070.0",0,15.816,33.2779,5.842,103.3,255.08,0.492,0.173,0.32,1.15,0.035,0.2,0,9,9
"861544",34281,"083.3 080.0",0,16.066,33.1321,5.845,103.78,255.25,0.426,0.098,0.31,1.02,0.043,0.23,0,9,9
"861577",34282,"083.3 090.0",0,16.607,32.8911,5.664,101.5,247.45,0.115,0.034,0.26,0.82,0.016,0,0,NA,NA
"861615",34283,"083.3 100.0",0,17.597,32.965,5.54,101.25,241.92,0.078,0.016,0.31,1.43,0,0,0.04,9,9
"861645",34284,"083.3 110.0",0,18.436,33.2221,5.456,101.49,238.19,0.073,0.015,0.25,1.73,0,0,0,9,9
"861676",34285,"086.7 033.0",0,21.014,33.6155,5.736,112.21,250.45,0.596,0.134,0.13,1.65,0.024,0,0.05,9,9
"861685",34286,"086.7 035.0",0,21.16,33.6169,5.663,111.08,247.27,0.307,0.084,0.11,1.02,0.009,0,0,9,9
"861714",34287,"086.7 040.0",0,21.447,33.6494,5.444,107.36,237.71,0.283,0.071,0.2,1.42,0.023,0,0,NA,NA
"861752",34288,"086.7 045.0",0,20.294,33.6848,5.553,107.25,242.4,0.404,0.095,0.14,1.48,0.022,0,0,9,9
"861782",34289,"086.7 050.0",0,16.475,33.5605,5.832,104.66,254.66,0.94,0.222,0.44,4.23,0.071,1.45,0.06,9,9
"861795",34290,"086.7 055.0",0,16.408,33.6169,5.849,104.86,255.38,0.895,0.159,0.36,2.97,0.057,0.63,0.14,9,9
"861824",34291,"086.7 060.0",0,15.644,33.3508,5.844,103.03,255.21,0.645,0.22,0.36,1.09,0.067,0.53,0.18,9,9
"861854",34292,"086.7 070.0",0,16.44,33.2088,5.733,102.59,250.41,0.343,0.073,0.32,1.01,0.023,0.06,0.14,NA,NA
"861889",34293,"086.7 080.0",0,15.725,33.1067,5.903,104.08,257.86,0.413,0.124,0.32,1.1,0.051,0.09,0.12,9,9
"861919",34294,"086.7 090.0",0,18.267,33.2707,5.445,100.99,237.84,0.092,0.022,0.31,1.91,0.004,0,0,9,9
"861948",34295,"086.7 100.0",0,17.596,33.0228,5.547,101.41,242.36,0.095,0.025,0.26,1.43,0.012,0,0,NA,NA
"861983",34296,"086.7 110.0",0,17.648,32.9966,5.538,101.33,241.95,0.083,0.021,0.25,1.38,0.014,0,0,9,9
"862014",34297,"086.8 032.5",0,21.973,33.649,5.532,110.14,241.5,0.75,0.153,0.09,1.55,0.017,0,0,9,9
"862019",34298,"088.5 030.1",0,19.12,33.5544,5.81,109.7,253.67,0.978,0.289,0.29,4.04,0.017,0,0.01,9,9
"862024",34299,"090.0 027.7",0,22.337,33.6428,5.581,111.84,243.6,0.708,0.187,0.15,1.96,0.013,0,0,9,9
"862030",34300,"090.0 028.0",0,22.286,33.636,5.547,111.05,242.12,0.507,0.124,0.12,1.85,0.019,0,0,9,9
"862040",34301,"090.0 030.0",0,23.225,33.7065,5.748,117.05,250.92,1.58,0.162,0.11,1.09,0.028,0.12,0.07,9,9
"862070",34302,"090.0 035.0",0,19.326,33.5349,5.542,105.03,242.05,0.313,0.076,0.26,1.09,0.024,0,0.02,9,9
"862095",34303,"090.0 037.0",0,19.478,33.5506,5.507,104.68,240.52,0.328,0.074,0.23,0.79,0.132,0,0.04,NA,NA
"862130",34304,"090.0 045.0",0,18.516,33.594,5.636,105.23,246.13,0.373,0.149,0.24,1.65,0.02,0.01,0.05,9,9
"862160",34305,"090.0 053.0",0,17.118,33.6284,5.864,106.61,256.06,0.9,0.188,0.2,1.13,0.014,0,0,9,9
"862189",34306,"090.0 060.0",0,16.383,33.1859,5.782,103.34,252.6,0.268,0.084,0.31,1.07,0.015,0,0,9,9
"862219",34307,"090.0 070.0",0,17.916,33.125,5.498,101.2,240.21,0.091,0.015,0.27,1.9,0.011,0,0.01,NA,NA
"862254",34308,"090.0 080.0",0,18.458,33.2271,5.461,101.63,238.57,0.084,0.024,0.27,2.19,0.028,0.05,0.04,9,9
"862283",34309,"090.0 090.0",0,18.606,33.2648,5.459,101.9,238.44,0.085,0.018,0.29,1.89,0.019,0,0.34,9,9
"862317",34310,"090.0 100.0",0,19.039,33.3717,5.384,101.39,235.13,0.076,0.013,0.28,2.08,0.022,0,0,9,9
"862345",34311,"090.0 110.0",0,18.929,33.3451,5.417,101.79,236.64,0.08,0.019,0.27,1.6,0.021,0,0.01,NA,NA
"862382",34312,"090.0 120.0",0,19.015,33.3343,5.44,102.38,237.59,0.068,0.014,0.24,2.06,0.016,0,0.19,9,9
"862412",34313,"091.7 026.4",0,23.261,33.6953,5.773,117.63,252.17,0.692,0.102,0.17,0.03,0.033,0,0.5,9,9
"862419",34314,"093.3 026.7",0,22.834,33.6898,5.808,117.45,253.69,0.795,0.156,0.1,0.44,0.036,0,0.04,NA,NA
"862434",34315,"093.3 028.0",0,22.607,33.672,5.818,117.17,254.05,0.626,0.156,0.54,0.68,0.031,0.14,1.34,9,9
"862462",34316,"093.3 030.0",0,22.162,33.6549,5.933,118.53,259.16,0.733,0.127,0.13,0.31,0.031,0.1,0.63,9,9
"862492",34317,"093.3 035.0",0,21.016,33.6813,5.891,115.29,257.36,0.692,0.159,0.08,1.1,0.021,0,0.09,9,9
"862520",34318,"093.3 040.0",0,18.755,33.6042,5.582,104.7,243.89,0.38,0.106,0.22,1.3,0.022,0,0.13,9,9
"862550",34319,"093.3 045.0",0,19.95,33.6328,5.619,107.8,245.47,0.377,0.091,0.27,1.81,0,0.07,1.35,NA,NA
"862586",34320,"093.3 050.0",0,19.163,33.6074,5.515,104.25,240.89,0.416,0.111,0.24,2.39,0,0,0.01,9,9
"862618",34321,"093.3 055.0",0,16.789,33.6395,5.871,106.06,256.45,1.645,0.343,0.26,1.09,0.021,0,0.32,9,9
"862649",34322,"093.3 060.0",0,16.577,33.5687,5.878,105.7,256.73,1.565,0.583,0.29,0.59,0.011,0,0.02,9,9
"862678",34323,"093.3 070.0",0,16.267,33.3317,5.873,104.82,256.66,0.367,0.116,0.29,0.8,0.027,0,0.05,NA,NA
"862713",34324,"093.3 080.0",0,17.072,33.0177,5.673,102.66,247.88,0.111,0.03,0.28,1.52,0.021,0,0.06,9,9
"862743",34325,"093.3 090.0",0,18.79,33.3262,5.418,101.53,236.61,0.067,0.015,0.3,1.87,0.014,0.07,0.53,9,9
"862772",34326,"093.3 100.0",0,19.42,33.5317,5.344,101.46,233.52,0.077,0.023,0.22,2.23,0.004,0.18,0,9,9
"862803",34327,"093.3 110.0",0,19.184,33.364,5.375,101.49,234.85,0.059,0.013,0.27,1.94,0.033,0.14,0.19,NA,NA
"862838",34328,"093.3 120.0",0,19.669,33.5736,5.329,101.67,232.71,0.061,0.019,0.2,1.83,0.029,0.19,0.02,9,9
"862871",34329,"093.4 026.4",0,21.591,33.6925,6.095,120.54,266.27,3.53,0.631,0.21,2.67,0.055,0.06,0.1,9,9
"862875",34330,"076.7 049.0",0,13.949,33.2789,5.613,95.58,245.17,4.98,0.925,0.53,4.8,0.191,3.86,0.28,9,9
"862885",34331,"076.7 051.0",0,14.793,33.2758,6.29,108.96,274.72,7.037,0.535,0.34,0.86,0.031,0.13,0.06,9,9
"862906",34332,"076.7 055.0",0,16.034,33.2674,5.86,104.06,255.97,2.188,0.271,0.3,1.7,0.047,0.34,0.6,9,9
"862935",34333,"076.7 060.0",0,15.765,33.3531,5.871,103.76,256.48,3.028,0.326,0.27,0.98,0.04,0.17,0.02,9,9
"862965",34334,"076.7 070.0",0,16.475,33.1253,5.662,101.34,247.32,0.295,0.089,0.26,0.98,0.014,0.03,0.08,NA,NA
"863002",34335,"076.7 080.0",0,16.779,32.8196,5.657,101.67,247.13,0.265,0.082,0.23,1.56,0.021,0.1,0,9,9
"863031",34336,"076.7 090.0",0,17.513,32.811,5.521,100.65,241.19,0.179,0.04,0.21,1.35,0.008,0.02,0,9,9
"863062",34337,"076.7 100.0",0,18.647,33.2522,5.383,100.55,235.08,0.13,0.024,0.18,1.78,0.019,0.03,0,9,9
"863090",34338,"080.0 050.5",0,14.94,33.3735,5.386,93.64,235.26,1.439,0.311,0.58,4.7,0.141,3.12,0.1,9,9
"863096",34339,"080.0 051.0",0,15.122,33.3685,5.406,94.33,236.08,1.789,0.071,0.54,4.19,0.161,2.62,0.03,9,9
"863106",34340,"080.0 055.0",0,15.032,33.4011,5.509,95.97,240.57,3.129,0.508,0.5,3.31,0.128,2.3,0.05,9,9
"863136",34341,"080.0 060.0",0,14.916,33.3973,5.569,96.78,243.18,3.202,0.608,0.49,3.13,0.135,2.63,0.28,NA,NA
"863172",34342,"080.0 070.0",0,16.182,33.4021,5.691,101.44,248.51,1.385,0.204,0.27,0.42,0.061,0.12,0,9,9
"863202",34343,"080.0 080.0",0,16.411,33.2259,5.693,101.83,248.63,0.347,0.079,0.25,0.84,0.018,0.01,0.01,9,9
"863233",34344,"080.0 090.0",0,17.046,33.0509,5.607,101.44,244.89,0.196,0.056,0.22,0.68,0.019,0,0.01,9,9
"863263",34345,"080.0 100.0",0,17.698,33.0107,5.511,100.95,240.73,0.155,0.042,0.23,1.45,0.042,0.04,0.04,NA,NA
"863298",34346,"081.7 043.5",0,17.038,33.3956,5.814,105.39,253.96,1.228,0.242,0.27,2.29,0.033,0.21,0.06,9,9
"863303",34347,"081.8 046.9",0,17.515,33.4245,5.635,103.11,246.12,1.238,0.047,0.27,1.82,0.017,0.05,0.01,9,9
"863335",34348,"083.3 039.4",0,16.913,33.3949,5.854,105.85,255.65,4.672,0.714,0.45,3.46,0.073,0.09,0,9,9
"863341",34349,"083.3 040.6",0,17.066,33.3943,5.786,104.94,252.72,1.535,0.279,0.3,2.2,0.04,0,0.05,9,9
"863348",34350,"083.3 042.0",0,17.093,33.4151,5.613,101.86,245.1,1.175,0.297,0.32,2.83,0.068,0.91,0.08,NA,NA
"863367",34351,"083.3 051.0",0,14.442,33.4196,5.075,87.37,221.6,1.128,0.377,0.75,6.79,0.169,6.29,0.24,9,9
"863382",34352,"083.3 055.0",0,16.237,33.4054,5.512,98.36,240.69,0.868,0.204,0.38,1.73,0.139,1.43,0.08,9,9
"863413",34353,"083.3 060.0",0,16.11,33.4138,5.715,101.73,249.62,1.585,0.322,0.35,1.08,0.066,0.77,0.1,9,9
"863448",34354,"083.3 070.0",0,16.705,33.4112,5.606,100.97,244.85,0.632,0.141,0.24,0.76,0.04,0.17,0.22,NA,NA
"863484",34355,"083.3 080.0",0,17.883,33.2284,5.486,100.98,239.58,0.19,0.023,0.2,1.39,0.009,0.08,0.03,9,9
"863514",34356,"083.3 090.0",0,17.875,33.301,5.486,101.01,239.59,0.235,0.05,0.26,1.08,0.012,0.01,0.02,9,9
"863545",34357,"083.3 100.0",0,17.467,33.0797,5.586,101.91,244,0.2,0.054,0.22,0.48,0.013,0,0.02,9,9
"863574",34358,"083.3 110.0",0,18.192,33.0803,5.477,101.32,238.93,0.141,0.03,0.22,1.36,0.005,0,0,NA,NA
"863610",34359,"085.4 035.8",0,15.857,33.307,5.537,98.01,241.78,0.959,0.408,0.45,4.26,0.19,1.16,0.78,9,9
"863616",34360,"086.7 033.0",0,19.068,33.4466,5.521,104.08,241.09,0.323,0.068,0.22,1.68,0.014,0.01,0,9,9
"863626",34361,"086.7 035.0",0,19.388,33.4584,5.431,103,237.16,0.2,0.041,0.24,1.81,0.019,0.04,0,9,9
"863656",34362,"086.7 040.0",0,18.433,33.3812,5.631,104.84,245.91,0.448,0.1,0.21,1.39,0.018,0,0.14,9,9
"863685",34363,"086.7 045.0",0,17.997,33.4319,5.542,102.36,241.95,0.357,0.05,0.26,1.37,0.017,0.05,0.02,NA,NA
"863721",34364,"086.7 050.0",0,18.303,33.4433,5.523,102.61,241.13,0.329,0.08,0.26,1.34,0.018,0.01,0.03,9,9
"863734",34365,"086.7 055.0",0,18.675,33.3509,5.435,101.64,237.32,0.184,0.032,0.26,1.33,0.018,0.25,0.13,9,9
"863765",34366,"086.7 060.0",0,19.393,33.4379,5.335,101.18,232.9,0.155,0.03,0.24,1.63,0.007,0.01,0,9,9
"863795",34367,"086.7 070.0",0,17.788,33.2551,5.508,101.21,240.53,0.193,0.048,0.24,0.64,0.016,0,0,9,9
"863830",34368,"086.7 080.0",0,17.897,33.2035,5.496,101.17,239.99,0.21,0.034,0.25,1.16,0.034,0.05,0,NA,NA
"863865",34369,"086.7 090.0",0,17.869,33.3661,5.517,101.61,240.91,0.248,0.055,0.28,0.97,0.017,0,0,9,9
"863895",34370,"086.7 100.0",0,17.785,33.0965,5.537,101.64,241.83,0.167,0.053,0.25,1.01,0.012,0.01,0.01,9,9
"863924",34371,"086.7 110.0",0,19.102,33.2215,5.345,100.69,233.41,0.101,0.02,0.23,1.91,0.023,0.14,0.03,9,9
"863953",34372,"086.8 032.5",0,19.087,33.4355,5.537,104.41,241.77,0.569,0.115,0.22,1.79,0.018,0.07,0.05,9,9
"863959",34373,"088.5 030.1",0,18.087,33.37,5.994,110.86,261.76,1.034,0.243,0.19,1.77,0.03,0,0,9,9
"863964",34374,"090.0 027.7",0,18.984,33.404,5.75,108.19,251.09,0.668,0.125,0.17,1.23,0.029,0,0.01,9,9
"863969",34375,"090.0 028.0",0,19.166,33.3808,5.548,104.74,242.28,0.289,0.054,0.2,1.44,0.023,0,0.03,9,9
"863980",34376,"090.0 030.0",0,19.593,33.4921,6.019,114.62,262.82,1.269,0.062,0.21,1.66,0.016,0.04,0,NA,NA
"864016",34377,"090.0 035.0",0,19.2,33.3951,5.776,109.12,252.26,0.484,0.079,0.1,0.81,0.021,0,0,9,9
"864040",34378,"090.0 037.0",0,19.299,33.4259,5.471,103.57,238.92,0.228,0.044,0.2,1.58,0.022,0,0,9,9
"864072",34379,"090.0 045.0",0,19.722,33.4543,5.373,102.54,234.63,0.215,0.039,0.23,1.63,0.019,0.03,0,9,9
"864102",34380,"090.0 053.0",0,19.18,33.3431,5.359,101.17,233.99,0.133,0.025,0.23,1.41,0.017,0.01,0.01,9,9
"864133",34381,"090.0 060.0",0,18.486,33.4318,5.438,101.38,237.45,0.183,0.037,0.27,1.44,0.03,0.08,0.01,NA,NA
"864168",34382,"090.0 070.0",0,18.377,33.3648,5.446,101.28,237.82,0.186,0.036,0.28,1.18,0.024,0,0,9,9
"864204",34383,"090.0 080.0",0,17.838,33.3757,5.513,101.48,240.75,0.191,0.049,0.29,0.87,0.004,0,0,9,9
"864232",34384,"090.0 090.0",0,18.037,33.282,5.471,101.03,238.93,0.191,0.035,0.26,1.01,0.02,0.03,0.09,9,9
"864286",34385,"090.0 100.0",0,19.132,33.1957,5.374,101.28,234.66,0.123,0.022,0.23,1.69,0.017,0.1,0.12,NA,NA
"864322",34386,"090.0 110.0",0,19.478,33.3129,5.295,100.51,231.22,0.097,0.018,0.22,1.71,0.018,0.01,0,9,9
"864353",34387,"090.0 120.0",0,19.197,33.1344,5.379,101.46,234.9,0.099,0.021,0.25,1.59,0.018,0.13,1.05,9,9
"864386",34388,"091.7 026.4",0,19.176,33.4142,5.651,106.72,246.7,0.447,0.09,0.19,1.32,0.022,0.02,0.15,9,9
"864391",34389,"093.3 026.7",0,19.078,33.4167,5.677,107.02,247.88,0.35,0.062,0.19,1.99,0.025,0.22,0.04,NA,NA
"864410",34390,"093.3 028.0",0,19.775,33.4484,5.438,103.88,237.44,0.216,0.026,0.2,1.11,0.019,0.01,0.07,9,9
"864440",34391,"093.3 030.0",0,19.503,33.4704,5.537,105.25,241.75,0.306,0.057,0.2,1.57,0.016,0,0.07,9,9
"864475",34392,"093.3 035.0",0,19.067,33.4278,5.439,102.52,237.5,0.221,0.032,0.23,1.08,0.017,0,0,9,9
"864505",34393,"093.3 040.0",0,19.158,33.4875,5.427,102.5,236.98,0.3,0.029,0.27,2.52,0.025,0.43,0.19,9,9
"864539",34394,"093.3 045.0",0,19.398,33.5087,5.387,102.22,235.23,0.251,0.02,0.25,2.16,0.016,0.16,0.2,NA,NA
"864576",34395,"093.3 050.0",0,19.156,33.3548,5.372,101.38,234.58,0.147,0.029,0.26,1.93,0.024,0.19,0.07,9,9
"864605",34396,"093.3 055.0",0,20.182,33.5335,5.231,100.73,228.4,0.143,0.026,0.26,2.01,0.018,0.12,0.79,9,9
"864636",34397,"093.3 060.0",0,19.56,33.3797,5.321,101.2,232.34,0.192,0.039,0.25,1.58,0.02,0,0.03,9,9
"864668",34398,"093.3 070.0",0,17.958,33.3798,5.492,101.33,239.82,0.269,0.064,0.3,1.33,0.02,0.01,0.17,NA,NA
"864703",34399,"093.3 080.0",0,18.457,33.1162,5.439,101.15,237.54,0.163,0.003,0.24,1.17,0.02,0,0.04,9,9
"864732",34400,"093.3 090.0",0,17.923,33.2135,5.526,101.78,241.29,0.219,0.049,0.26,1.06,0.025,0.17,0.06,9,9
"864763",34401,"093.3 100.0",0,17.92,33.1401,5.487,101.02,239.63,0.169,0.041,0.23,0.82,0.017,0,0.01,9,9
"864796",34402,"093.3 110.0",0,19.39,33.3005,5.316,100.73,232.15,0.105,0.024,0.21,1.63,0.008,0.03,0,9,9
"864828",34403,"093.3 120.0",0,19.556,33.2875,5.29,100.54,230.97,0.089,0.02,0.21,2.25,0.023,0.27,0.05,9,9
"864859",34404,"093.4 026.4",0,18.744,33.4083,5.805,108.74,253.47,0.905,0.176,0.22,1.77,0.029,0.1,0.02,9,9
